Statistik från Skolverket, https://www.skolverket.se;;;;;;;;;;
;;;;;;;;;;
Grundskola - Slutbetyg årskurs 9, samtliga elever;;;;;;;;;;
Valt läsår: 2024/25;;;;;;;;;;
;;;;;;;;;;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Andel (%) elever som uppfyllt betygskriterierna i alla ämnen;Andel (%) elever behöriga till yrkesprog.;Genomsnittligt meritvärde (17 ämnen)
Kungsklippeskolan;89510449;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;56;85,7;89,3;252
Noblaskolan Sundbyberg;67788311;Sundbyberg;0183;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;44;77,3;~100;252
Grimstaskolan;44227469;Upplands Väsby;0114;Kommunal;Upplands Väsby kommun;2120000019;112;86,6;92;252
Tellusborgsskolan;58294404;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;224;79,5;87,1;251,9
Härlandatjärnskolan F-9;60279184;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;55;83,6;90,9;251,5
Styrsöskolan F-9;81179515;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;58;86,2;~100;251,4
Gillbo-Gröndalsskolan;73629371;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;51;92,2;~100;251,2
Nygårdsskolan F-9;65651613;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;77;81,8;89,6;251,1
Vittra Södermalm;59900714;Stockholm;0180;Enskild;Vittraskolorna AB;5564586716;78;87,2;~100;251,1
Sankt Thomas Skola;28753548;Lund;1281;Enskild;Stiftelsen S:T Thomas Skola;8450030435;18;72,2;~100;251
Påvelundsskolan F-9;77556882;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;240;88,8;94,6;250,8
JENSEN grundskola Långholmen;57317316;Stockholm;0180;Enskild;Jensen Education College AB;5566358759;73;78,1;91,8;250,6
Tunabergsskolan;54742485;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;151;84,8;89,4;250,6
Internationella Engelska Skolan Halmstad;78323330;Halmstad;1380;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;110;81,8;90;250,4
Rosenholmskolan Sport College 7-9;89523926;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;54;96,3;~100;250,4
Öjersjö Storegård skola 5-9;19873115;Partille;1402;Kommunal;Partille kommun;2120001272;107;83,2;93,5;250,3
Viby friskola;54806839;Norrtälje;0188;Enskild;Ogenholts Friskola AB;5565533873;17;88,2;100;250,1
Internationella Engelska Skolan Karlstad;93730568;Karlstad;1780;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;136;78,7;92,6;250
Internationella Engelska Skolan Umeå;53993567;Umeå;2480;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;56;75;89,3;250
Mikaeliskolan;75746018;Nyköping;0480;Enskild;Stiftelsen Mikaeliskolan i Nyköping;8190010572;19;73,7;~100;249,9
Lärande Grundskola Östra;90838156;Norrköping;0581;Enskild;Lärande förskolor och grundskolor i Sverige AB;5567243547;58;79,3;~100;249,6
Hästhagsskolan;79626756;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;73;76,7;86,3;249,4
Sverkerskolan;21969379;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;99;79,8;84,8;249,4
Backaskolan;55040455;Malmö;1280;Enskild;Föreningen Backaskolan;8465001777;28;85,7;~100;249,3
Pops Academy Östermalm;11018018;Stockholm;0180;Enskild;Pops Academy AB;5569583197;47;78,7;89,4;249,3
Communityskolan Gårdsten;92384910;Göteborg;1480;Enskild;RM Bildning AB;5591946909;24;79,2;~100;249,2
Internationella Engelska Skolan Länna;22127801;Huddinge;0126;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;91;93,4;~100;249,2
Kvarnbyskolan;67822057;Mölndal;1481;Kommunal;Mölndals kommun;2120001363;167;86,2;91;249,2
Bergby Centralskola 1-9;55373417;Gävle;2180;Kommunal;Gävle kommun;2120002338;30;80;~100;249,1
Fridaskolan Kvillebäcken;56328727;Göteborg;1480;Enskild;Fridaskolorna AB;5564515988;77;89,6;~100;249,1
Skårbyskolan Norr;39992436;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;46;87;~100;249,1
Internationella Engelska Skolan Kista;82982309;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;125;64,8;91,2;249,1
Vittra Vallentuna;46206050;Vallentuna;0115;Enskild;Vittraskolorna AB;5564586716;48;87,5;~100;249,1
Broängsskolan;38661388;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;92;90,2;93,5;249
Hagaskolan;84520303;Vallentuna;0115;Kommunal;Vallentuna kommun;2120000027;79;86,1;93,7;249
Kunskapsskolan Tyresö;81266343;Stockholm;0180;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;136;84,6;94,9;248,9
Vallaskolan;90874950;Östersund;2380;Kommunal;Östersunds kommun;2120002528;83;89,2;94;248,9
Björnåkersskolan;15720147;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;43;86;88,4;248,8
Grenadjärskolan;36409468;Örebro;1880;Enskild;Stiftelsen Grenadjärskolan;8750024062;22;81,8;~100;248,8
Ekebyholmsskolan, gr;98239828;Norrtälje;0188;Enskild;Ekebyholmsskolan Aktiebolag;5562512425;25;72;100;248,7
Skolan Bergius;35008423;Sigtuna;0191;Enskild;Sigtuna Friskola AB;5567482707;69;78,3;92,8;248,7
Innovitaskolan Falun;72625090;Falun;2080;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;63;92,1;~100;248,6
Framtidskomp. V Ingelstad sk;44979671;Vellinge;1233;Enskild;Framtidskompassen AB;5567865943;43;93;~100;248,5
Östbergsskolan;81045260;Östersund;2380;Kommunal;Östersunds kommun;2120002528;98;85,7;88,8;248,5
Margarethaskolan;51867275;Knivsta;0330;Enskild;Margarethaskolans grundskola AB;5594050360;20;80;~100;248,4
Prolympia, Umeå;28958120;Umeå;2480;Enskild;Ulno AB;5566577705;78;92,3;~100;248,4
Vinsta grundskola västra;97400863;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;121;84,3;92,6;248,3
Grubbeskolan 7-9;75714469;Umeå;2480;Kommunal;Umeå kommun;2120002627;172;90,7;95,3;248,3
Södervikskolan AB;49021135;Upplands Väsby;0114;Enskild;Södervikskolan AB;5567220347;119;84,9;~100;248,3
Tiundaskolan;53847396;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;149;66,4;81,2;248,3
Runstyckets skola;57386343;Malmö;1280;Enskild;Runstyckets Förskola Aktiebolag;5564518081;20;85;~100;248,1
Spångholmsskolan 4-9;83516023;Svedala;1263;Kommunal;Svedala kommun;2120001074;72;91,7;~100;248
Hammarlundens skola 7-9 Syd;95243847;Hammarö;1761;Kommunal;Hammarö kommun;2120001793;89;89,9;~100;247,9
Internationella Engelska Skolan Liljeholmen;72624886;Stockholm;0180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;150;72;80;247,9
Internationella Engelska Skolan Östersund;61128264;Östersund;2380;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;54;70,4;~100;247,9
Nils Holgerssonskolan;24445412;Simrishamn;1291;Enskild;Föräldrakooperativet Nils Holgerssonskolan Ek Fö;7696014666;26;84,6;~100;247,8
Farsta grundskola;38758770;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;141;73;85,1;247,8
Valsätraskolan;56446888;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;116;77,6;85,3;247,8
Prolympia, Norrköping;16013826;Norrköping;0581;Enskild;Prolympia AB;5567026454;110;90;~100;247,7
Orionskolan;27928506;Gotland;0980;Enskild;Stiftelsen Orionskolan;8340017915;22;90,9;~100;247,5
Montessoriskolan - Gustafslund;26281697;Norrtälje;0188;Enskild;Montessori i Norrtälje AB;5562855410;31;80,6;~100;247,5
Falkenbergsskolan;99856371;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;97;90,7;94,8;247,4
Sofielundsskolan;39907811;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;60;80;86,7;247,2
Ankarskolan 4-9;68653982;Varberg;1383;Kommunal;Varbergs kommun;2120001249;57;87,7;~100;247,2
Kunskapsskolan Nyköping;88046003;Nyköping;0480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;126;92,1;~100;247,1
Lerbergsskolan;10592650;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;67;82,1;91;247
Prolympia Växjö;83197782;Växjö;0780;Enskild;Prolympia AB;5567026454;112;89,3;~100;247
Hagalidskolan;28784410;Staffanstorp;1230;Kommunal;Staffanstorps kommun;2120001017;152;86,2;94,1;246,9
Sundsvalls Montessoriskola;78495763;Sundsvall;2281;Kommunal;Sundsvalls kommun;2120002411;28;89,3;~100;246,7
Örjanskolan grund;10661388;Södertälje;0181;Enskild;Föreningen Örjanskolan;8156005103;26;92,3;~100;246,7
Västerportskolan;54436997;Ystad;1286;Kommunal;Ystad kommun;2120001181;148;83,8;88,5;246,7
Betelskolan;65677988;Öckerö;1407;Enskild;Betelförsamlingens Skolstiftelse;8024250972;22;81,8;~100;246,6
Önneredsskolan F-9;91687391;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;155;85,2;91;246,5
Broholmskolan Lidköping;98083121;Lidköping;1494;Enskild;Broholm Education AB;5594148594;36;83,3;100;246,5
Nyvångskolan;70811599;Lund;1281;Kommunal;Lunds kommun;2120001132;121;81,8;89,3;246,5
Palmbladsskolan;40275917;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;120;75,8;89,2;246,4
Silverdalsskolan;69195602;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;64;76,6;85,9;246,3
Franska skolan Göteborg 6-9;51565567;Göteborg;1480;Enskild;Medborgarskolan Region Väst;8494001913;43;72,1;83,7;246,2
Källbrinksskolan;41213404;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;155;88,4;93,5;246,2
Nordic International School Ystad;49197086;Ystad;1286;Enskild;Nordic International School AB;5566102033;33;69,7;~100;246,1
Internationella Engelska Skolan Sundbyberg;98753011;Sundbyberg;0183;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;122;73;82,8;246
Engelska skolan Upplands Väsby;80509560;Upplands Väsby;0114;Enskild;Stiftelsen Språkskolan i Upplands Väsby;8160005966;24;70,8;~100;245,9
Rydsbergsskolan Norr;24103764;Lerum;1441;Kommunal;Lerums kommun;2120001447;57;75,4;86;245,8
Nyköpings Enskilda Grundskola;91013126;Nyköping;0480;Enskild;Nyköpings Enskilda Grundskola AB;5590689559;138;87,7;92;245,8
Fäladsgården;54391347;Lund;1281;Kommunal;Lunds kommun;2120001132;174;80,5;85,6;245,7
Mariaskolan;67272295;Malmö;1280;Enskild;Kristna Skolföreningen i Malmö;8460026654;20;85;~100;245,6
Profilskolan;10360193;Stockholm;0180;Enskild;Profilskolan AB;5569247264;22;72,7;~100;245,6
Internationella Engelska Skolan Huddinge;97942210;Huddinge;0126;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;149;65,1;85,2;245,5
Rydsbergsskolan Söder;53326735;Lerum;1441;Kommunal;Lerums kommun;2120001447;56;85,7;~100;245,4
Nya Skolan, Trollhättan, Pettersberg;11588924;Trollhättan;1488;Enskild;Nya Skolan Sverige AB;5566127600;21;71,4;~100;245,4
Tappströmsskolan;52217632;Ekerö;0125;Kommunal;Ekerö kommun;2120000050;189;79,4;89,4;245,3
Trulsegårdsskolan 7-9;22474777;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;191;86,4;94,2;245,3
Glumslövs skola;30917121;Landskrona;1282;Kommunal;Landskrona kommun;2120001140;65;83,1;87,7;245,3
Alléskolan;60217642;Skurup;1264;Kommunal;Skurups kommun;2120001082;24;87,5;~100;245,3
Internationella Engelska Skolan Hässleholm;79716826;Hässleholm;1293;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;58;67,2;89,7;245,2
Fredkullaskolan Waldorfskola;38353942;Kungälv;1482;Enskild;Föreningen för Waldorfpedagogik i Kungälv;8533007038;15;93,3;~100;245,2
Hagavikskolan;81662991;Växjö;0780;Kommunal;Växjö kommun;2120000662;41;82,9;~100;245,1
Kunskapsskolan Trelleborg;65892623;Trelleborg;1287;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;78;80,8;87,2;244,9
Tuna skola;26666728;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;19;89,5;100;244,9
Internationella Engelska Skolan Falun;34401115;Falun;2080;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;83;77,1;92,8;244,8
Glömstaskolan;15218794;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;90;71,1;80;244,8
Björkö friskola;78992223;Linköping;0580;Enskild;Stiftelsen Waldorfpedagogik i Vreta Kloster;8220027596;28;85,7;~100;244,8
Växjö Internationella Grundskola 7-9;20002379;Växjö;0780;Enskild;Lacko Internationella Grundskola AB;5568111123;21;90,5;~100;244,8
Videdalsskolan;37324136;Malmö;1280;Kommunal;Malmö kommun;2120001124;107;72,9;90,7;244,7
Vittra Östertälje;12757193;Södertälje;0181;Enskild;Vittraskolorna AB;5564586716;50;78;90;244,7
Mellanhedsskolan;29300350;Malmö;1280;Kommunal;Malmö kommun;2120001124;112;69,6;75;244,6
Hägerneholmsskolan;41181908;Täby;0160;Kommunal;Täby kommun;2120000118;52;80,8;86,5;244,6
Lindåsskolan F-9;87375656;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;70;85,7;92,9;244,5
Vindelälvsskolan 4-9;94589976;Sorsele;2422;Kommunal;Sorsele kommun;2120002585;27;88,9;~100;244,4
Hovåsskolan F-9;99319890;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;107;77,6;81,3;244,3
Vågbroskolan åk 4-9;42162288;Söderhamn;2182;Kommunal;Söderhamns kommun;2120002353;44;77,3;81,8;244,3
Balingsnässkolan;13654969;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;59;83,1;89,8;244,2
Pershagenskolan;38653015;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;43;79,1;81,4;244,2
Gluntens Montessoriskola;57484572;Uppsala;0380;Enskild;Gluntens Montessoriskola AB;5592659667;50;70;86;244,1
Råsunda Centralskola;33951941;Solna;0184;Kommunal;Solna kommun;2120000183;124;82,3;87,9;244
Carlslundsskolan 7-9;61410067;Umeå;2480;Kommunal;Umeå kommun;2120002627;114;80,7;92,1;243,9
Bällstabergsskolan;52293921;Vallentuna;0115;Kommunal;Vallentuna kommun;2120000027;47;89,4;~100;243,9
Färjestadens högstadium;40648796;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;115;87;~100;243,8
Tellusskolan Thea Bromma;87999453;Stockholm;0180;Enskild;Tellusskolan II AB;5565697082;52;73,1;~100;243,8
Lindsdalsskolorna;51848797;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;125;89,6;96;243,7
Nya Munken;76521863;Linköping;0580;Enskild;Nya Munken Aktiebolag;5563475028;190;78,9;92,6;243,7
Montessori Mondial Malmö;45776214;Malmö;1280;Enskild;MontessoriGrundskolan Maria AB;5565418455;21;100;100;243,6
Raoul Wallenbergskolan Uppsala;56867001;Uppsala;0380;Enskild;Raoul Wallenbergskolorna AB;5566740113;64;84,4;90,6;243,6
Noblaskolan Mariastaden;57590681;Helsingborg;1283;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;47;80,9;89,4;243,5
Rosenborgskolan;11914814;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;146;87;91,1;243,4
Skanör Falsterbo Montessorisk.;46725455;Vellinge;1233;Enskild;Skanör Falsterbo Montessoriskola AB;5566270095;16;87,5;100;243,4
Tråsättraskolan;51305351;Österåker;0117;Kommunal;Österåkers kommun;2120002890;111;81,1;91,9;243,4
Noblaskolan Boden;40708452;Boden;2582;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;68;82,4;92,6;243,2
Högsätra skola;49631077;Lidingö;0186;Kommunal;Lidingö kommun;2120000191;86;80,2;89,5;243,1
Innovitaskolan Södertälje;74489639;Södertälje;0181;Enskild;Kringlaskolan AB;5567734065;54;88,9;~100;243,1
Sally Bauerskolans Högstadium;53515359;Helsingborg;1283;Enskild;Ideella Föreningen Sally Bauerskolorna;8025373088;47;85,1;89,4;242,9
Järna friskola;41584790;Södertälje;0181;Enskild;Montessori Förskolor och Skolor i Sverige AB;5591658975;28;89,3;~100;242,9
Skegrie skola;17417951;Trelleborg;1287;Kommunal;Trelleborgs kommun;2120001199;29;86,2;~100;242,9
Slättbergsskolan 7-9;84590859;Trollhättan;1488;Kommunal;Trollhättans kommun;2120001546;52;75;88,5;242,8
Vikenskolan;89335715;Höganäs;1284;Kommunal;Höganäs kommun;2120001165;73;84,9;~100;242,7
Ludvigsborgs friskola;52665905;Hörby;1266;Enskild;Ludvigsborgs Fristående Skola, Ek. Förening;7164396918;34;88,2;~100;242,6
Gottorpskolan;56363473;Malmö;1280;Kommunal;Malmö kommun;2120001124;195;73,8;87,2;242,6
Kumla skola;37147254;Tyresö;0138;Kommunal;Tyresö kommun;2120000092;112;77,7;90,2;242,6
Funäsdalens skola;72295998;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;26;80,8;~100;242,5
Västra Stenhagenskolan;48134074;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;101;77,2;85,1;242,4
Gunnesboskolan;85762828;Lund;1281;Kommunal;Lunds kommun;2120001132;112;75;86,6;242,3
Kunskapsskolan Krokslätt;83045482;Göteborg;1480;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;79;70,9;82,3;242,2
Innovitaskolan Visby;52229866;Gotland;0980;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;54;79,6;~100;242,1
Skogshöjdens skola 6-9;17106266;Trollhättan;1488;Kommunal;Trollhättans kommun;2120001546;44;77,3;88,6;242,1
Storsjöskolan 2;10954341;Umeå;2480;Kommunal;Umeå kommun;2120002627;82;91,5;~100;242,1
Alphaskolan;25749057;Västervik;0883;Enskild;Kunskapsnavet AB;5565121570;47;83;87,2;242,1
Kunskapsskolan Enköping;67723630;Enköping;0381;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;124;82,3;85,5;242
Vesterhavsskolan;35136963;Falkenberg;1382;Enskild;Vesterhavet AB;5567870398;104;86,5;92,3;242
Junedalsskolan;20696736;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;305;86,9;92,5;242
Josefinaskolan, grundskola;55508705;Sigtuna;0191;Enskild;Stiftelsen Josefinaskolan;8148007258;19;57,9;100;242
Prolympia Göteborg;54367867;Göteborg;1480;Enskild;Gothenburg Association AB;5567295851;122;88,5;91,8;241,9
Munktellskolan 7-9;43959135;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;121;76,9;91,7;241,5
Stenbackeskolan;77005811;Uddevalla;1485;Enskild;Stiftelsen Uddevalla Kristna Skola;8585011904;17;64,7;70,6;241,5
Örbyskolan;39171821;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;60;71,7;81,7;241,4
Internationella Engelska Skolan Växjö;11366318;Växjö;0780;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;37;75,7;~100;241,4
Internationella Engelska Skolan Linköping;82086591;Linköping;0580;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;106;70,8;88,7;241,3
Tomtaklintskolan;51044218;Trosa;0488;Kommunal;Trosa kommun;2120002957;103;85,4;95,1;241,3
Tyresö skola;83020784;Tyresö;0138;Kommunal;Tyresö kommun;2120000092;96;77,1;94,8;241,2
Nova Montessoriskola åk 6-9;56655808;Kungsbacka;1384;Enskild;Montenova Montessoriskola Ekonomisk Förening;7696022248;27;81,5;~100;241
Vittra Örebro;55597667;Örebro;1880;Enskild;Vittraskolorna AB;5564586716;59;79,7;89,8;241
Estetiska skolan, högstadiet;99375199;Arvika;1784;Enskild;Estetiska Skolan Arvika;8740020212;50;80;88;240,9
Vittra Forsgläntan;42568760;Kungsbacka;1384;Enskild;Vittraskolorna AB;5564586716;44;93,2;~100;240,9
S:t Olofs skola;13579948;Sigtuna;0191;Kommunal;Sigtuna kommun;2120000225;165;77,6;87,3;240,8
Gärdesskolan;70201551;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;64;82,8;~100;240,8
Waldorfskolan i Karlshamn;22909101;Karlshamn;1082;Enskild;Daggkåpan Ekonomisk Förening;7164056082;19;73,7;100;240,7
Attarpsskolan 7-9;40546319;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;150;89,3;96;240,5
Innovitaskolan Södermalm;51772207;Stockholm;0180;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;26;80,8;~100;240,5
Hagnässkolan;16969143;Upplands-Bro;0139;Kommunal;Upplands-Bro kommun;2120000100;86;73,3;86;240,5
Almunge skola;99056007;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;70;78,6;85,7;240,4
Stureskolan;13854755;Arboga;1984;Kommunal;Arboga kommun;2120002122;70;72,9;88,6;240,3
Sätraskolan;21724208;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;64;76,6;84,4;240,3
Magnarps skola SO 1;49455969;Ängelholm;1292;Kommunal;Ängelholms kommun;2120000977;51;86,3;~100;240,3
Stadsöskolan 7-9;95536453;Luleå;2580;Kommunal;Luleå kommun;2120002742;95;86,3;92,6;240,2
Sannaskolan 7-9;49474076;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;151;79,5;90,1;240,1
Kunskapsskolan Katrineholm;16603772;Katrineholm;0483;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;93;79,6;93,5;240,1
Trönninge skola 4-9;71449540;Varberg;1383;Kommunal;Varbergs kommun;2120001249;92;84,8;93,5;240,1
Futurum 7-9;22385992;Håbo;0305;Kommunal;Håbo kommun;2120000241;96;79,2;94,8;240
Enebyskolan 1;24625357;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;59;84,7;89,8;240
Edsbergsskolan;18595907;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;122;77;91,8;240
Residensskolan 7-9;73462793;Luleå;2580;Kommunal;Luleå kommun;2120002742;78;78,2;87,2;239,9
Boukefs Privatskola;62868982;Malmö;1280;Enskild;Boukefs Privatskola AB;5567155527;23;56,5;78,3;239,8
Ramsele skola;20197159;Sollefteå;2283;Kommunal;Sollefteå kommun;2120002437;12;..;~100;239,8
Folkungaskolan 5;65857121;Linköping;0580;Kommunal;Linköpings kommun;2120000449;217;75,1;88;239,7
Irstaskolan;61002601;Västerås;1980;Kommunal;Västerås kommun;2120002080;104;79,8;95,2;239,7
Katolska skolan av Notre Dame;45045293;Göteborg;1480;Enskild;Vår Fru AB;5591760342;34;61,8;85,3;239,6
Länna skola;72471883;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;42;85,7;~100;239,6
Nosabyskolan H;98284563;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;138;68,8;84,1;239,5
Västerholms friskola;35890890;Stockholm;0180;Enskild;Västerholms Friskola AB;5565672812;89;65,2;89,9;239,4
Sanda högstadium;98088982;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;75;78,7;88;239,3
Sävsjö kristna skola;28504550;Sävsjö;0684;Enskild;Stiftelsen Guds Kraft;8275007857;14;78,6;~100;239,3
Hölöskolan;79466321;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;49;85,7;~100;239,3
Öllsjöskolan MH;46211392;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;53;79,2;84,9;239,1
Roslagsskolan;31851256;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;200;77,5;92;239,1
Pär Lagerkvistskolan 7-9;18116804;Växjö;0780;Kommunal;Växjö kommun;2120000662;143;79;93;239,1
Profilskolan Excel;38368827;Leksand;2029;Enskild;Profilfriskolan Excel AB (svb);5590306964;21;90,5;~100;239
Kunskapsskolan Lund;52037312;Lund;1281;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;112;80,4;91,1;239
Innovitaskolan Mölndal;42908622;Mölndal;1481;Enskild;AcadeMedia fria grundskolor AB;5569320699;52;75;82,7;238,9
Internationella Engelska Skolan Gävle;53952728;Gävle;2180;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;158;67,7;73,4;238,8
Skogsängsskolan;58385274;Salem;0128;Kommunal;Salems kommun;2120002874;51;70,6;80,4;238,8
Apolloniosskolan;16061350;Stockholm;0180;Enskild;Apolloniosskolan AB;5591043798;13;84,6;~100;238,8
Norrbyskolan;92127007;Stockholm;0180;Enskild;Stockholm Lära Aktiebolag;5567240659;20;70;~100;238,8
Blombackaskolan;34148887;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;57;80,7;87,7;238,8
Torslandaskolan 7-9;89487045;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;169;82,2;88,8;238,7
Västra Skolan Kalmar;94235119;Kalmar;0880;Enskild;CIS Kalmar AB;5565896213;81;88,9;92,6;238,7
Friskolan Asken;63423770;Strängnäs;0486;Enskild;Friskolan Asken Aktiebolag;5567481071;57;86;89,5;238,7
Husumskolan;33732345;Örnsköldsvik;2284;Kommunal;Örnsköldsviks kommun;2120002445;46;84,8;~100;238,7
Hammarlundens skola  7-9 Nord;11954492;Hammarö;1761;Kommunal;Hammarö kommun;2120001793;48;87,5;~100;238,6
Emiliaskolan Höörs waldorfsk.;63846783;Höör;1267;Enskild;Föreningen Emiliaskolan;8420007984;26;76,9;~100;238,6
Internationella Engelska Skolan Jönköping;86499334;Jönköping;0680;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;98;70,4;84,7;238,6
Kälarne skola;82223639;Bräcke;2305;Kommunal;Bräcke kommun;2120002460;10;..;100;238,5
Landskrona School of Sports AB;70072964;Landskrona;1282;Enskild;Landskrona School of Sports AB;5567206239;39;87,2;~100;238,5
Wasaskolan;56568612;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;53;71,7;86,8;238,4
Falkbergsskolan;85558618;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;105;76,2;85,7;238,2
Bagarmossens skola;13679897;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;113;72,6;80,5;238,2
Grevåkerskolan Hammerdal;54719506;Strömsund;2313;Kommunal;Strömsunds kommun;2120002486;16;81,3;~100;238,2
Internationella Engelska Skolan Borås;58354320;Borås;1490;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;61;80,3;~100;238,1
Ytterbyskolan 1;63621283;Kungälv;1482;Kommunal;Kungälvs kommun;2120001371;210;84,3;91;238
Norrhammarskolan;20566987;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;69;88,4;100;238
Fria Emilia;98998541;Boden;2582;Enskild;Friskola Fria Emilia Boden ekonomisk förening;7696083455;26;84,6;~100;237,9
Torpskolan skolenhet 3;64987026;Lerum;1441;Kommunal;Lerums kommun;2120001447;56;75;89,3;237,9
Nordic International School Trollhättan;45769922;Trollhättan;1488;Enskild;Nordic International School AB;5566102033;48;62,5;85,4;237,8
Ahlafors Fria skola;71387206;Ale;1440;Enskild;Ahlafors Fria Skola Ekonomisk förening;7696142343;25;88;~100;237,7
Montessorifriskolan i Gislaved;93436580;Gislaved;0662;Enskild;Montessorifriskolan i Gislaved Ekonomiska förening;7696123103;11;..;~100;237,7
Tolvåkerskolan 7-9;13578112;Kävlinge;1261;Kommunal;Kävlinge kommun;2120001058;150;80,7;87,3;237,7
JENSEN grundskola Malmö 2;61994062;Malmö;1280;Enskild;Jensen Education College AB;5566358759;147;54,4;71,4;237,7
