school_id,school_name,municipality,address,merit_value,school_type,latitude,longitude
17287315,Källtorpskolan,Järfälla,Källtorpsvägen 10,221.1,Kommunal,59.4551388,17.8133823
31319179,Karlbergsskolan,Köping,Theodor Dahls gata 3,221.0,Kommunal,59.51274019999999,16.0022381
88746223,Communityskolan Tynnered,Göteborg,Opalgatan 81,220.9,Enskild,57.6407134,11.9001289
47579620,Kollaskolan 7-9,Kungsbacka,Askvägen 45,220.9,Kommunal,57.4796483,12.0652884
16656370,Bleketskolan,Tjörn,Slåtthusvägen 4,220.7,Kommunal,57.94993909999999,11.573207
81052393,Lyrfågelskolan 7-9,Trollhättan,Hagtornsstigen 16,220.6,Kommunal,58.2901237,12.323629
64402572,Oxievångsskolan,Malmö,Keramikvägen 122,220.6,Kommunal,55.5356135,13.0953637
13123046,Vetlanda Friskola,Vetlanda,Flugebyvägen 4,220.4,Enskild,57.42347600000001,15.0992547
12853184,Finnbacksskolan 1,Lycksele,Bångvägen 12,220.3,Kommunal,64.5943766,18.6730155
51610240,Lexby skola 6-9,Partille,Nygårdsvägen 5A,220.2,Kommunal,57.7459595,12.1232041
61582926,Vittra Halmstad,Halmstad,Nymansgatan 23,220.1,Enskild,56.6804703,12.8378474
82942801,Ringsjöskolan,Höör,Östergatan 15,220.1,Kommunal,55.9359158,13.5475873
83291761,Sannerudsskolan 7-9,Kil,Karlslundsgatan 6,220.1,Kommunal,59.5007031,13.310465
80852248,Slottsskolan,Borgholm,Södra Esplanaden 28,220.0,Kommunal,56.8758455,16.6560049
16490220,Hedda Wisingskolan,Härnösand,Gånsviksvägen 2,220.0,Kommunal,62.6301833,17.9489971
73206377,Forsnässkolan 4-9,Munkfors,Uddeholmsvägen 1,219.9,Kommunal,59.83698200000001,13.5320362
99361107,Ramunderskolan,Söderköping,Ringvägen 45A,219.8,Kommunal,58.4757383,16.3279067
65717061,Gröndalsskolan F-9,Nynäshamn,Idunvägen 23,219.8,Kommunal,58.9013979,17.937488
29289355,Ekhamraskolan,Mariestad,Carlbäcksvägen 4 A,219.8,Enskild,58.7101119,13.8213327
87197902,Rådmansvångens skola,Malmö,Klerkgatan 2,219.8,Kommunal,55.5935298,13.0021364
27506076,Svärdsjöskolan,Falun,Idrottsvägen 1,219.7,Kommunal,60.5957131,15.6397455
65688769,Skytteskolan F-9,Göteborg,Marklandsgatan 21B,219.7,Kommunal,57.67188159999999,11.9346917
13175575,Högastensskolan,Helsingborg,Elektrogatan 1 A,219.7,Kommunal,56.00914599999999,12.7306007
75318783,Västerskolan F-9,Hässleholm,Mellankullagatan 11,219.7,Kommunal,56.15992370000001,13.7480318
22509001,Lindeborgsskolan,Malmö,Orkestergatan 7,219.7,Kommunal,55.56163840000001,12.9903584
17250578,von Bahrs skola,Uppsala,Heidenstamsgatan 67,219.7,Kommunal,59.8782739,17.6487563
73077490,Älghultskolan,Uppvidinge,Högsbyvägen 3A,219.7,Kommunal,57.01026599999999,15.5796402
54990077,Vallbacksskolan,Gävle,Brunnsgatan 46,219.6,Kommunal,60.6682469,17.1414127
84917564,Ljungarumsskolan 7-9,Jönköping,Värnamovägen 1,219.6,Kommunal,57.75373459999999,14.1540772
15716434,Ursviksskolan,Skellefteå,Skelleftehamnsvägen 100,219.6,Kommunal,64.71258639999999,21.1627751
16858929,"Prolympia, Östersund",Östersund,Kaserngatan 13 vån 3,219.5,Enskild,63.1839966,14.6408955
81265119,Pilträdsskolan,Västerås,Loftbodsvägen 5,219.5,Enskild,59.62030119999999,16.5024341
87516620,Domarhagsskolan,Avesta,Frejgatan 9,219.4,Kommunal,60.1414688,16.181306
24374886,Vittra Väsby,Upplands Väsby,Drabantgatan 3-5,219.4,Enskild,59.5175577,17.9170596
92364234,Thunmanskolan,Knivsta,Södervägen 18 A,219.4,Kommunal,59.7223035,17.7957427
99835038,Höjaskolan,Malmö,Skillinggatan 1,219.4,Kommunal,55.58340339999999,13.0653205
79022806,Södra Skolan,Härjedalen,Vallarvägen 2,219.3,Kommunal,62.54196039999999,12.5498206
